# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Sample","Quantity","Target","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Delta Rn","Target Call","Well Call","Assessment","Omit"
"80","G8","ICD",,"IEC","IPC","VIC","NFQ-MGB","Amp","18.976065727292024","18.89868039170757","0.975113127847968","0.08007432791848752","false","9000.0","false","3","15","181165.714114011","Positive","Undetermined",,"false"
"80","G8","ICD",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-87506.20260989011","Negative","Undetermined",,"false"
"85","H1","Neg CC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.624772920760783","28.51308521442099","0.9798253022014498","0.28168620055400306","false","9000.0","false","3","15","142332.5561040522","Positive","Undetermined",,"false"
"85","H1","Neg CC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-69662.76717032968","Negative","Undetermined",,"false"
"86","H2","Water",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","26.58136489625607","26.497164730140707","0.9881583245505441","0.11907701687384575","false","9000.0","false","3","15","145126.8187242445","Positive","Undetermined",,"false"
"86","H2","Water",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-61429.69299450558","Negative","Undetermined",,"false"
"87","H3","Empty",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","25.29291474381599","25.29291474381599","0.9796406094491934","","false","9000.0","false","3","15","140143.0410370879","Positive","Undetermined",,"false"
"87","H3","Empty",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-137149.2939560439","Negative","Undetermined",,"false"
"88","H4","Neg CC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","25.314060110334736","24.697966979480043","0.9857343569008125","0.4787833474175897","false","30000.0","true","3","15","671641.2988495879","Positive","Positive",,"false"
"89","H5","Water",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-467.34340309897937","Negative","Negative",,"false"
"90","H6","Empty",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-666.2076708487455","Negative","Negative",,"false"
"92","H8","Negative Control",,"Endo","NTC","FAM","NFQ-MGB","Amp","35.01505988121363","35.01505988121363","0.9662334823086492","","false","30000.0","true","3","26","457336.1247973279","Negative","Negative",,"false"
