# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"13","B1","38","10430.084","1281953.9"
"13","B1","39","15199.086","1333681.8"
"13","B1","40","21361.438","1417121.9"
"13","B1","41","26989.953","1534452.5"
"13","B1","42","30594.91","1658158.0"
"13","B1","43","32454.582","1765451.2"
"13","B1","44","33608.207","1842053.9"
"13","B1","45","35018.23","1888946.5"
"13","B1","46","35499.27","1920876.2"
"13","B1","47","36278.766","1941221.1"
"13","B1","48","36380.445","1956093.2"
"13","B1","49","36607.133","1967332.0"
"13","B1","50","36826.82","1976719.5"
"13","B1","51","37548.668","1987886.8"
"13","B1","52","36771.547","1995619.1"
"14","B2","1","7080.243","1222799.9"
"14","B2","2","14077.674","1196001.6"
"14","B2","3","14565.762","1201594.9"
"14","B2","4","14308.911","1201869.9"
"14","B2","5","14352.724","1201286.1"
"14","B2","6","14165.49","1202219.8"
"14","B2","7","14445.394","1203401.0"
"14","B2","8","14007.037","1204362.5"
"14","B2","9","13921.459","1205095.9"
"14","B2","10","14141.853","1206548.2"
"14","B2","11","13854.658","1209001.8"
"14","B2","12","13747.53","1210098.8"
"14","B2","13","13816.47","1210950.4"
"14","B2","14","13894.795","1209746.9"
"14","B2","15","14273.729","1214571.4"
"14","B2","16","14293.699","1212609.4"
"14","B2","17","13952.189","1216145.9"
"14","B2","18","14249.943","1212790.1"
"14","B2","19","14099.371","1214058.4"
"14","B2","20","13996.079","1214159.2"
"14","B2","21","14271.64","1214611.0"
"14","B2","22","14193.407","1213981.4"
"14","B2","23","14173.373","1213469.1"
"14","B2","24","14043.225","1214169.6"
"14","B2","25","13979.035","1215408.4"
"14","B2","26","13936.759","1214676.4"
"14","B2","27","13900.813","1216511.0"
"14","B2","28","14091.3955","1215743.8"
"14","B2","29","13889.127","1216703.9"
"14","B2","30","14007.089","1216666.9"
"14","B2","31","13841.651","1220724.1"
"14","B2","32","13849.786","1221757.2"
"14","B2","33","13348.889","1232280.8"
"14","B2","34","13898.192","1241116.0"
"14","B2","35","13168.293","1268301.4"
"14","B2","36","12414.475","1318471.4"
"14","B2","37","11477.076","1404962.1"
"14","B2","38","10026.428","1534419.1"
"14","B2","39","8934.519","1693029.2"
"14","B2","40","8129.826","1837693.0"
"14","B2","41","9048.522","1939501.0"
"14","B2","42","10889.418","2001431.4"
"14","B2","43","13301.4375","2033246.2"
"14","B2","44","15792.028","2055674.4"
"14","B2","45","17752.93","2072936.4"
"14","B2","46","18287.545","2090386.0"
"14","B2","47","20237.107","2099562.5"
"14","B2","48","21039.08","2110176.5"
"14","B2","49","22099.836","2119117.5"
"14","B2","50","22879.15","2127451.2"
"14","B2","51","23148.186","2137649.2"
"14","B2","52","23847.91","2141639.8"
"15","B3","1","10081.667","1173187.9"
"15","B3","2","15746.033","1143034.9"
"15","B3","3","15642.156","1147410.8"
"15","B3","4","15426.195","1150326.9"
"15","B3","5","15557.996","1148696.1"
"15","B3","6","15513.619","1149139.2"
"15","B3","7","15483.54","1150177.1"
"15","B3","8","15510.388","1152541.0"
"15","B3","9","15639.843","1151248.9"
"15","B3","10","15625.274","1151062.1"
"15","B3","11","15710.127","1154097.6"
"15","B3","12","15502.013","1155584.8"
"15","B3","13","15469.078","1159798.0"
"15","B3","14","15564.981","1159076.6"
"15","B3","15","15835.475","1158726.1"
"15","B3","16","15801.241","1157703.1"
"15","B3","17","15601.744","1158631.0"
"15","B3","18","15469.23","1159669.8"
"15","B3","19","15878.315","1158777.2"
"15","B3","20","15699.662","1159497.4"
"15","B3","21","15625.689","1159245.4"
"15","B3","22","15674.185","1161695.2"
"15","B3","23","15583.844","1161502.6"
"15","B3","24","15824.554","1159905.6"
"15","B3","25","15517.901","1161588.2"
"15","B3","26","15671.078","1162199.5"
"15","B3","27","15725.112","1161817.1"
"15","B3","28","16067.267","1161494.5"
"15","B3","29","15818.164","1162914.0"
"15","B3","30","15808.187","1162783.5"
"15","B3","31","16244.511","1162323.9"
"15","B3","32","16378.271","1163519.5"
"15","B3","33","16840.66","1162335.0"
"15","B3","34","17617.783","1163537.5"
"15","B3","35","19750.467","1161744.4"
"15","B3","36","22773.51","1162703.1"
"15","B3","37","28499.3","1162613.0"
"15","B3","38","37814.12","1162444.4"
"15","B3","39","50410.254","1161277.5"
"15","B3","40","63048.652","1161002.1"
"15","B3","41","73713.05","1161292.9"
"15","B3","42","83122.0","1160719.0"
"15","B3","43","90868.88","1160045.0"
"15","B3","44","97888.58","1159060.8"
"15","B3","45","103070.164","1161515.9"
"15","B3","46","108090.16","1159764.8"
"15","B3","47","112311.84","1158951.9"
"15","B3","48","116477.68","1156888.5"
"15","B3","49","119410.32","1158747.9"
"15","B3","50","122188.01","1156452.5"
"15","B3","51","124646.85","1157282.6"
"15","B3","52","125080.45","1161403.2"
"16","B4","1",,"79655.484"
"16","B4","2",,"79377.33"
"16","B4","3",,"79617.75"
"16","B4","4",,"79673.1"
"16","B4","5",,"80301.59"
"16","B4","6",,"80801.125"
"16","B4","7",,"81198.05"
"16","B4","8",,"81415.61"
"16","B4","9",,"81070.41"
"16","B4","10",,"81924.836"
"16","B4","11",,"82159.1"
"16","B4","12",,"81916.336"
"16","B4","13",,"82018.875"
"16","B4","14",,"82703.0"
"16","B4","15",,"82477.08"
"16","B4","16",,"82690.71"
"16","B4","17",,"83002.72"
"16","B4","18",,"83224.07"
"16","B4","19",,"83414.07"
"16","B4","20",,"84050.68"
"16","B4","21",,"84948.76"
"16","B4","22",,"86404.7"
"16","B4","23",,"89627.05"
"16","B4","24",,"95797.01"
"16","B4","25",,"107485.3"
"16","B4","26",,"128620.22"
"16","B4","27",,"166663.52"
"16","B4","28",,"228216.8"
"16","B4","29",,"312078.25"
"16","B4","30",,"403106.06"
"16","B4","31",,"481172.88"
"16","B4","32",,"536773.4"
"16","B4","33",,"570583.56"
"16","B4","34",,"595551.25"
"16","B4","35",,"615456.44"
"16","B4","36",,"633235.4"
"16","B4","37",,"651753.06"
"16","B4","38",,"668440.9"
"16","B4","39",,"685019.8"
"16","B4","40",,"700559.94"
"16","B4","41",,"715268.8"
"16","B4","42",,"728601.44"
"16","B4","43",,"741114.5"
"16","B4","44",,"752929.2"
"16","B4","45",,"763454.1"
"16","B4","46",,"773821.7"
"16","B4","47",,"783312.56"
"16","B4","48",,"791767.5"
"16","B4","49",,"800804.3"
"16","B4","50",,"808143.6"
"16","B4","51",,"815588.6"
"16","B4","52",,"819798.8"
"17","B5","1",,"136398.53"
"17","B5","2",,"133566.86"
"17","B5","3",,"134716.44"
"17","B5","4",,"134883.66"
"17","B5","5",,"135913.14"
"17","B5","6",,"135917.14"
"17","B5","7",,"136613.44"
"17","B5","8",,"136408.33"
"17","B5","9",,"135908.6"
"17","B5","10",,"135674.12"
"17","B5","11",,"136050.23"
"17","B5","12",,"136061.02"
