# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"2","A2","46","nCoV","1848116.0","713917.399664751","Spike-In NT","false"
"2","A2","47","nCoV","1860729.625","725669.0214148879","Spike-In NT","false"
"2","A2","48","nCoV","1869754.125","733831.5181650247","Spike-In NT","false"
"2","A2","49","nCoV","1879469.25","742684.6399151615","Spike-In NT","false"
"2","A2","50","nCoV","1887809.875","750163.2616652984","Spike-In NT","false"
"3","A3","1","IEC","8129.13330078125","-7148.59655092647","Spike-In NT","false"
"3","A3","2","IEC","7926.62158203125","-6799.655497026048","Spike-In NT","false"
"3","A3","3","IEC","7774.8427734375","-6399.981532969374","Spike-In NT","false"
"3","A3","4","IEC","7619.9091796875","-6003.46235406895","Spike-In NT","false"
"3","A3","5","IEC","7787.8798828125","-5284.038878293528","Spike-In NT","false"
"3","A3","6","IEC","7452.35205078125","-5068.113937674354","Spike-In NT","false"
"3","A3","7","IEC","7599.34326171875","-4369.669954086432","Spike-In NT","false"
"3","A3","8","IEC","7597.1708984375","-3820.389544717258","Spike-In NT","false"
"3","A3","9","IEC","7303.96484375","-3562.1428267543342","Spike-In NT","false"
"3","A3","10","IEC","7377.7451171875","-2936.909780666412","Spike-In NT","false"
"3","A3","11","IEC","7197.87939453125","-2565.3227306722383","Spike-In NT","false"
"3","A3","12","IEC","7466.74609375","-1745.0032588030663","Spike-In NT","false"
"3","A3","13","IEC","7266.98779296875","-1393.3087869338924","Spike-In NT","false"
"3","A3","14","IEC","7690.45361328125","-418.3901939709684","Spike-In NT","false"
"3","A3","15","IEC","7520.267578125","-37.12345647679638","Spike-In NT","false"
"3","A3","16","IEC","7443.794921875","437.8566599236275","Spike-In NT","false"
"3","A3","17","IEC","7241.939453125","787.4539638240514","Spike-In NT","false"
"3","A3","18","IEC","7627.60888671875","1724.5761700682233","Spike-In NT","false"
"3","A3","19","IEC","7411.74951171875","2060.169567718647","Spike-In NT","false"
"3","A3","20","IEC","7527.33544921875","2727.208277869069","Spike-In NT","false"
"3","A3","21","IEC","7186.39013671875","2937.715738019493","Spike-In NT","false"
"3","A3","22","IEC","7375.74462890625","3678.523002857417","Spike-In NT","false"
"3","A3","23","IEC","7168.2294921875","4022.460638789089","Spike-In NT","false"
"3","A3","24","IEC","7341.9267578125","4747.610677064513","Spike-In NT","false"
"3","A3","25","IEC","7117.341796875","5074.478488777437","Spike-In NT","false"
"3","A3","26","IEC","7443.716796875","5952.306261427859","Spike-In NT","false"
"3","A3","27","IEC","7261.7392578125","6321.781495015783","Spike-In NT","false"
"3","A3","28","IEC","7023.57275390625","6635.0677637599565","Spike-In NT","false"
"3","A3","29","IEC","7165.482421875","7328.430204379129","Spike-In NT","false"
"3","A3","30","IEC","7009.74755859375","7724.148113748301","Spike-In NT","false"
"3","A3","31","IEC","6979.66455078125","8245.517878586224","Spike-In NT","false"
"3","A3","32","IEC","6782.5234375","8599.829537955398","Spike-In NT","false"
"3","A3","33","IEC","5946.02685546875","8314.785728574572","Spike-In NT","false"
"3","A3","34","IEC","5082.35107421875","8002.562719974996","Spike-In NT","false"
"3","A3","35","IEC","3403.785400390625","6875.449818797291","Spike-In NT","false"
"3","A3","36","IEC","322.08544921875","4345.20264027584","Spike-In NT","false"
"3","A3","37","IEC","-3431.98388671875","1142.586076988764","Spike-In NT","false"
"3","A3","38","IEC","-7171.66455078125","-2045.641814423312","Spike-In NT","false"
"3","A3","39","IEC","-10583.13671875","-4905.661209741638","Spike-In NT","false"
"3","A3","40","IEC","-12087.375","-5858.446718341218","Spike-In NT","false"
"3","A3","41","IEC","-13259.4453125","-6479.064258190794","Spike-In NT","false"
"3","A3","42","IEC","-13874.376953125","-6542.54312616537","Spike-In NT","false"
"3","A3","43","IEC","-14203.4052734375","-6320.118673827446","Spike-In NT","false"
"3","A3","44","IEC","-14144.5283203125","-5709.7889480520225","Spike-In NT","false"
"3","A3","45","IEC","-14754.13671875","-5767.944573839099","Spike-In NT","false"
"3","A3","46","IEC","-15243.599609375","-5705.954691813678","Spike-In NT","false"
"3","A3","47","IEC","-15036.31640625","-4947.218716038255","Spike-In NT","false"
"3","A3","48","IEC","-15324.7333984375","-4684.182935575331","Spike-In NT","false"
"3","A3","49","IEC","-16307.3017578125","-5115.298522299907","Spike-In NT","false"
"3","A3","50","IEC","-15984.4833984375","-4241.027390274483","Spike-In NT","false"
"3","A3","1","nCoV","1081446.75","-3861.452173912985","Spike-In NT","false"
"3","A3","2","nCoV","1085338.125","-580.9198369566293","Spike-In NT","false"
"3","A3","3","nCoV","1087037.25","507.36249999995925","Spike-In NT","false"
"3","A3","4","nCoV","1088797.25","1656.5198369565478","Spike-In NT","false"
"3","A3","5","nCoV","1087497.75","-253.82282608686364","Spike-In NT","false"
"3","A3","6","nCoV","1088728.75","366.3345108694921","Spike-In NT","false"
"3","A3","7","nCoV","1087778.0","-1195.2581521739194","Spike-In NT","false"
"3","A3","8","nCoV","1086908.25","-2675.850815217331","Spike-In NT","false"
"3","A3","9","nCoV","1090007.25","-187.6934782609751","Spike-In NT","false"
"3","A3","10","nCoV","1088504.125","-2301.6611413043865","Spike-In NT","false"
"3","A3","11","nCoV","1090725.125","-691.503804347798","Spike-In NT","false"
"3","A3","12","nCoV","1091119.5","-907.9714673912094","Spike-In NT","false"
"3","A3","13","nCoV","1093632.375","994.0608695651463","Spike-In NT","false"
"3","A3","14","nCoV","1092177.375","-1071.7817934782652","Spike-In NT","false"
"3","A3","15","nCoV","1095572.25","1712.2505434783234","Spike-In NT","false"
"3","A3","16","nCoV","1097815.75","3344.907880434679","Spike-In NT","false"
"3","A3","17","nCoV","1098792.875","3711.1902173912677","Spike-In NT","false"
"3","A3","18","nCoV","1096050.5","357.9725543478562","Spike-In NT","false"
"3","A3","19","nCoV","1097022.875","719.5048913044448","Spike-In NT","false"
"3","A3","20","nCoV","1095807.5","-1106.7127717391995","Spike-In NT","false"
"3","A3","21","nCoV","1098123.5","598.444565217389","Spike-In NT","false"
"3","A3","22","nCoV","1097611.125","-524.7730978260224","Spike-In NT","false"
"3","A3","23","nCoV","1098115.75","-630.9907608696667","Spike-In NT","false"
"3","A3","24","nCoV","1097708.875","-1648.7084239130781","Spike-In NT","false"
"3","A3","25","nCoV","1101127.25","1158.8239130435104","Spike-In NT","false"
"3","A3","26","nCoV","1098648.625","-1930.643749999901","Spike-In NT","false"
"3","A3","27","nCoV","1099405.875","-1784.2364130435453","Spike-In NT","false"
"3","A3","28","nCoV","1103033.125","1232.1709239130432","Spike-In NT","false"
"3","A3","29","nCoV","1102415.125","3.3282608696317766","Spike-In NT","false"
"3","A3","30","nCoV","1107285.5","4262.8605978259875","Spike-In NT","false"
"3","A3","31","nCoV","1112350.25","8716.767934782576","Spike-In NT","false"
"3","A3","32","nCoV","1120246.625","16002.300271739165","Spike-In NT","false"
"3","A3","33","nCoV","1144253.875","39398.70760869575","Spike-In NT","false"
